Cedula,FechaNacimiento,Alelo1,Alelo2,Tratamiento,GrupoMetabolico,Pais,Ciudad
6-0999-0955,4/7/2014,*17,*1C,Clopidogrel,Rapido,Costa Rica,Limon
6-0597-0267,7/23/1966,*32,*32,Clopidogrel,No conocido,Costa Rica,San Jose
1-0573-0780,1/20/1996,*2F,*25,Clopidogrel,Lento,Costa Rica,San Jose
1-0521-0468,3/2/2006,*24,*2B,Clopidogrel,Lento,Costa Rica,Puntarenas
7-0808-0262,2/10/1965,*3C,*26,Clopidogrel,Lento,Costa Rica,Guanacaste
5-0230-0459,2/14/2008,*5A,*28,Clopidogrel,Normal,Costa Rica,Cartago
2-0969-0284,12/31/1992,*14,*2E,Clopidogrel,No conocido,Costa Rica,San Jose
1-0120-0563,11/20/2010,*1B,*2C,Clopidogrel,Normal,Costa Rica,Cartago
3-0622-0617,12/11/1952,*23,*17,Clopidogrel,No conocido,Costa Rica,Alajuela
7-0859-0694,7/15/1955,*1B,*17,Clopidogrel,Rapido,Costa Rica,Puntarenas
3-0550-0857,5/8/2011,*1C,*2A,Clopidogrel,Normal,Costa Rica,Limon
1-0177-0820,11/25/1997,*27,*9,Clopidogrel,No conocido,Costa Rica,Limon
6-0139-0750,2/28/1952,*35,*35,Clopidogrel,Lento,Costa Rica,Cartago
7-0435-0786,7/11/1951,*17,*35,Clopidogrel,Normal,Costa Rica,San Jose
3-0859-0444,5/19/1993,*33,*2C,Clopidogrel,No conocido,Costa Rica,Puntarenas
2-0777-0822,3/31/1989,*14,*3B,Clopidogrel,No conocido,Costa Rica,Limon
2-0160-0610,12/26/1963,*3A,*13,Clopidogrel,Normal,Costa Rica,Puntarenas
5-0383-0368,1/9/1998,*5A,*2D,Clopidogrel,Lento,Costa Rica,Limon
5-0980-0879,3/8/1952,*16,*35,Clopidogrel,Lento,Costa Rica,Alajuela
5-0235-0218,1/17/2002,*30,*19,Clopidogrel,No conocido,Costa Rica,Limon
7-0898-0158,4/19/1975,*3B,*23,Clopidogrel,No conocido,Costa Rica,Heredia
2-0736-0353,1/8/1952,*17,*17,Clopidogrel,Rapido,Costa Rica,Heredia
4-0523-0418,3/9/1952,*11,*15,Clopidogrel,Normal,Costa Rica,San Jose
3-0254-0436,6/6/1960,*1C,*11,Clopidogrel,Normal,Costa Rica,Heredia
2-0722-0384,3/5/1958,*11,*7,Clopidogrel,Normal,Costa Rica,Alajuela
7-0547-0697,5/16/1985,*17,*15,Clopidogrel,Rapido,Costa Rica,Limon
6-0337-0463,2/13/1994,*29,*2J,Clopidogrel,No conocido,Costa Rica,Cartago
7-0943-0924,4/14/1984,*30,*23,Clopidogrel,No conocido,Costa Rica,San Jose
6-0985-0508,2/8/1954,*23,*29,Clopidogrel,No conocido,Costa Rica,Limon
2-0267-0401,2/15/1977,*3A,*24,Clopidogrel,Lento,Costa Rica,Alajuela
3-0735-0539,4/4/1965,*22,*8,Clopidogrel,Lento,Costa Rica,Puntarenas
7-0404-0475,10/11/1987,*13,*17,Clopidogrel,Rapido,Costa Rica,San Jose
4-0569-0490,10/31/1974,*2D,*30,Clopidogrel,No conocido,Costa Rica,Puntarenas
7-0658-0818,8/26/2004,*25,*3B,Clopidogrel,Lento,Costa Rica,Limon
1-0568-0909,4/8/1969,*32,*2C,Clopidogrel,No conocido,Costa Rica,Guanacaste
1-0993-0442,3/10/1951,*6,*2F,Clopidogrel,Lento,Costa Rica,Guanacaste
2-0501-0637,7/17/1991,*23,*14,Clopidogrel,No conocido,Costa Rica,Cartago
